번호,상호,품목,구,동,결재방법,전화번호,주소,데이터기준일자
1,#(샾)헤어,미용,분당구,운중동,지류,031-707-0160,경기도 성남시 분당구 판교로25번길 6 1층 샾헤어,2021-01-16
2,(네오프런트)취영루,음식점,분당구,이매1동,모두,031-707-6613,"성남시 분당구 양현로 164(이매동,성남상공회의소 5층)",2021-01-16
3,(선)속초코다리냉면,음식점,분당구,삼평동,지류,031-8016-5995,"성남시 분당구 동판교로177번길 25, 106호(삼평동, 판교 호반 써밋 플레이스)",2021-01-16
4,(유)익수기업,택시,중원구,하대원동,모두,031-754-3764,성남시 중원구 둔촌대로194번길 4,2021-01-16
5,(자)합동운수,택시,중원구,하대원동,모두,031-752-0545,성남시 중원구 제일로18번길 10,2021-01-16
6,(井)정,기타(도소매),분당구,구미1동,모두,031-000-0000,"성남시 분당구 돌마로 80, 1층 101(내23호)호(구미동,현대밴츠빌오피스텔)",2021-01-16
7,(주) 라이즈에듀케이션코리아 (라이즈 탈렌티드 분당),학원,분당구,정자1동,모두,031-719-7659,"성남시 분당구 성남대로 389, 5층 503~506호 (폴라리스빌딩2)",2021-01-16
8,(주) 에이치엔에스월드,카페,수정구,복정동,모두,031-759-7655,"성남시 수정구 복정로 91, 1층 101호 (쎄븐빌딩)",2021-01-16
9,(주)굿프랜드,기타(도소매),분당구,정자동,모두,031-712-0308,경기도 성남시 분당구 내정로113번길 4 2층 204호,2021-01-16
10,(주)두영상사 (성남지점),기타(도소매),중원구,금광1동,지류,031-736-1406,"경기도 성남시 중원구 산성대로 266 (중앙동,1층)",2021-01-16
11,(주)레드미트코리아,슈퍼마켓,수정구,태평4동,모두,031-754-6744,경기도 성남시 수정구 시민로 239 .,2021-01-16
12,(주)리조트휘트니스판교,헬스장,분당구,운중동,모두,031-701-0677,경기도 성남시 분당구 운중로 142 7층,2021-01-16
13,(주)명인에듀분당지점,학원,분당구,정자1동,모두,031-714-8070,"경기도 성남시 분당구 정자일로 240, 502 503 504호",2021-01-16
14,(주)바이칼토탈휘트니스,문화·스포츠,분당구,야탑3동,지류,031-706-3615,경기도 성남시 분당구 장미로 198 아델파크지층 108호 외 4개호,2021-01-16
15,(주)베틀한복,기타(도소매),분당구,수내1동,모두,031-753-0770,경기도 성남시 분당구 황새울로214번길 8 ms프라자 8층 베틀한복,2021-01-16
16,(주)비엔씨케이홀딩스,음식점,수정구,시흥동,모바일,031-625-0879,경기도 성남시 수정구 창업로 54 B103호,2021-01-16
17,(주)빈스테이블(분당점),기타(도소매),분당구,수내2동,지류,031-714-8938,경기도 성남시 분당구 내정로 152 국화상가 103호,2021-01-16
18,(주)빙글,학원,분당구,구미동,모두,070-7576-2990,경기도 성남시 분당구 미금일로90번길 32 (구미동),2021-01-16
19,(주)생활연구소,기타(도소매),분당구,삼평동,지류,031-1877-7706,경기도 성남시 분당구 대왕판교로 670 유스페이스 2A 10층,2021-01-16
20,(주)세종교육,학원,수정구,태평2동,지류,031-757-2653,경기도 성남시 수정구 수정로 167 6층 세종교육,2021-01-16
21,(주)솔루션수학학원고등부,학원,분당구,금곡동,모두,031-717-7706,"성남시 분당구 돌마로 75   703,704호",2021-01-16
